Delta_T_C,Rload_ohm,Material,Seebeck_V_per_K
108.4,18.88,Bi2Te3,0.00022
280.61,8.09,PbTe,0.00018
280.08,13.92,Skutterudite,0.0002
57.29,13.51,PbTe,0.00018
80.76,5.83,Bi2Te3,0.00022
161.49,7.85,PbTe,0.00018
121.56,13.6,Bi2Te3,0.00022
151.23,16.69,Bi2Te3,0.00022
265.34,19.93,Skutterudite,0.0002
225.51,9.96,PbTe,0.00018
86.7,16.25,Skutterudite,0.0002
173.86,2.08,PbTe,0.00018
269.41,18.4,Skutterudite,0.0002
113.4,4.07,Bi2Te3,0.00022
112.73,8.64,Bi2Te3,0.00022
53.56,18.93,Bi2Te3,0.00022
153.27,2.55,Skutterudite,0.0002
182.32,1.73,Bi2Te3,0.00022
273.88,6.76,Bi2Te3,0.00022
236.73,11.64,Bi2Te3,0.00022
65.57,3.97,Bi2Te3,0.00022
285.88,15.93,Bi2Te3,0.00022
207.41,17.65,Skutterudite,0.0002
98.04,6.41,Skutterudite,0.0002
274.45,16.57,Bi2Te3,0.00022
237.22,15.71,Skutterudite,0.0002
259.54,14.69,Bi2Te3,0.00022
171.72,5.93,PbTe,0.00018
179.12,1.95,Skutterudite,0.0002
73.32,12.34,Skutterudite,0.0002
261.35,17.78,Bi2Te3,0.00022
190.46,8.7,PbTe,0.00018
221.94,1.53,Skutterudite,0.0002
242.87,10.05,PbTe,0.00018
133.17,4.11,Bi2Te3,0.00022
71.02,7.79,PbTe,0.00018
84.71,5.67,PbTe,0.00018
121.48,9.29,Bi2Te3,0.00022
177.37,17.02,Bi2Te3,0.00022
254.04,6.12,Skutterudite,0.0002
52.39,9.19,PbTe,0.00018
250.19,18.71,PbTe,0.00018
177.51,8.24,PbTe,0.00018
80.75,14.5,Bi2Te3,0.00022
242.94,14.86,Skutterudite,0.0002
79.96,11.75,Skutterudite,0.0002
284.08,16.18,Bi2Te3,0.00022
260.68,19.17,Skutterudite,0.0002
265.15,15.75,Skutterudite,0.0002
294.72,1.09,Bi2Te3,0.00022
66.18,10.46,Bi2Te3,0.00022
207.3,10.44,Skutterudite,0.0002
213.59,6.73,Bi2Te3,0.00022
262.09,8.6,Bi2Te3,0.00022
103.96,2.67,Bi2Te3,0.00022
88.03,18.83,Bi2Te3,0.00022
124.85,19.95,PbTe,0.00018
169.67,17.36,Skutterudite,0.0002
101.27,13.94,PbTe,0.00018
75.33,10.66,Skutterudite,0.0002
222.76,2.58,Bi2Te3,0.00022
135.92,4.7,Skutterudite,0.0002
162.16,16.46,PbTe,0.00018
186.4,17.13,PbTe,0.00018
251.39,17.74,Bi2Te3,0.00022
239.28,10.42,PbTe,0.00018
152.07,4.52,Bi2Te3,0.00022
109.79,10.85,Bi2Te3,0.00022
234.09,8.31,Bi2Te3,0.00022
133.3,12.09,Skutterudite,0.0002
206.88,9.19,PbTe,0.00018
212.08,6.41,Bi2Te3,0.00022
267.11,7.16,Bi2Te3,0.00022
219.39,19.54,PbTe,0.00018
179.57,16.12,PbTe,0.00018
191.05,5.89,Skutterudite,0.0002
79.21,15.19,Skutterudite,0.0002
206.74,3.5,Bi2Te3,0.00022
78.58,10.34,Bi2Te3,0.00022
71.18,14.98,Skutterudite,0.0002
160.21,15.51,Bi2Te3,0.00022
225.97,16.19,Skutterudite,0.0002
208.31,5.69,PbTe,0.00018
58.59,17.96,PbTe,0.00018
248.69,12.23,PbTe,0.00018
201.44,7.6,Skutterudite,0.0002
233.52,4.72,Bi2Te3,0.00022
97.31,16.09,Skutterudite,0.0002
54.83,9.92,Skutterudite,0.0002
258.4,13.71,Bi2Te3,0.00022
115.86,18.06,Bi2Te3,0.00022
109.66,9.36,Bi2Te3,0.00022
79.39,8.07,PbTe,0.00018
223.89,8.95,Skutterudite,0.0002
160.85,19.55,PbTe,0.00018
254.01,11.35,Skutterudite,0.0002
244.27,8.34,Bi2Te3,0.00022
262.49,15.64,PbTe,0.00018
258.29,5.98,Skutterudite,0.0002
60.34,11.9,PbTe,0.00018
193.79,7.77,PbTe,0.00018
79.47,6.22,Skutterudite,0.0002
127.73,14.58,Skutterudite,0.0002
127.47,9.14,Skutterudite,0.0002
272.65,9.91,PbTe,0.00018
267.13,12.01,Skutterudite,0.0002
93.25,12.75,Skutterudite,0.0002
297.41,5.06,Bi2Te3,0.00022
160.03,12.53,PbTe,0.00018
232.15,9.03,PbTe,0.00018
241.77,11.21,Skutterudite,0.0002
121.48,4.24,Bi2Te3,0.00022
164.88,5.3,Bi2Te3,0.00022
112.5,12.03,Bi2Te3,0.00022
72.31,10.81,PbTe,0.00018
291.34,3.94,Bi2Te3,0.00022
55.55,5.6,Bi2Te3,0.00022
242.4,2.7,PbTe,0.00018
260.11,6.18,Bi2Te3,0.00022
193.75,3.53,PbTe,0.00018
212.27,1.68,Bi2Te3,0.00022
218.52,14.91,PbTe,0.00018
178.83,4.99,Bi2Te3,0.00022
187.19,13.54,PbTe,0.00018
182.77,13.06,PbTe,0.00018
133.23,14.51,PbTe,0.00018
168.08,11.56,Skutterudite,0.0002
90.89,9.47,PbTe,0.00018
65.75,18.46,PbTe,0.00018
270.54,19.95,Bi2Te3,0.00022
218.22,13.01,Bi2Te3,0.00022
216.78,6.31,Bi2Te3,0.00022
284.65,11.35,PbTe,0.00018
243.7,13.61,PbTe,0.00018
267.07,13.31,Bi2Te3,0.00022
276.86,6.68,Skutterudite,0.0002
84.97,1.14,Skutterudite,0.0002
208.1,8.88,PbTe,0.00018
152.5,8.92,PbTe,0.00018
83.14,3.27,PbTe,0.00018
70.47,11.49,PbTe,0.00018
51.6,4.54,Skutterudite,0.0002
196.6,9.01,Skutterudite,0.0002
61.09,2.61,PbTe,0.00018
231.39,14.86,Skutterudite,0.0002
249.5,7.78,Bi2Te3,0.00022
255.42,6.87,Bi2Te3,0.00022
115.77,15.13,Bi2Te3,0.00022
107.48,14.27,Bi2Te3,0.00022
141.43,17.78,Bi2Te3,0.00022
99.72,14.23,Skutterudite,0.0002
254.6,12.24,Bi2Te3,0.00022
51.87,4.69,Bi2Te3,0.00022
250.73,7.98,Bi2Te3,0.00022
221.21,3.54,PbTe,0.00018
187.65,19.67,Skutterudite,0.0002
118.17,7.26,Bi2Te3,0.00022
273.5,3.2,PbTe,0.00018
105.55,6.7,PbTe,0.00018
105,7.25,Bi2Te3,0.00022
98.78,4.35,Bi2Te3,0.00022
127.41,18.88,PbTe,0.00018
282.83,10.93,Skutterudite,0.0002
67,19.38,Skutterudite,0.0002
176.09,14.1,PbTe,0.00018
229.75,16.97,Skutterudite,0.0002
192.89,1.85,PbTe,0.00018
192.24,13.98,Skutterudite,0.0002
265.22,16.42,Skutterudite,0.0002
84.87,13.49,Skutterudite,0.0002
51.66,5.78,PbTe,0.00018
225.72,1.2,Skutterudite,0.0002
50.81,13.9,Skutterudite,0.0002
216.94,15.91,Skutterudite,0.0002
115.88,7.69,Skutterudite,0.0002
195.92,1.51,PbTe,0.00018
235.44,14.19,Bi2Te3,0.00022
240.13,9.73,Bi2Te3,0.00022
161.33,6.06,PbTe,0.00018
199.15,14.47,PbTe,0.00018
82.95,17.63,Skutterudite,0.0002
274.71,11.36,Skutterudite,0.0002
141.67,15.73,Bi2Te3,0.00022
81.64,18.04,PbTe,0.00018
188.59,13.52,PbTe,0.00018
138.78,16.49,Bi2Te3,0.00022
245.64,6.29,Bi2Te3,0.00022
192.16,9.86,Skutterudite,0.0002
206.27,17.45,PbTe,0.00018
68.61,16,Bi2Te3,0.00022
293.2,8.35,Skutterudite,0.0002
285.39,18.79,Skutterudite,0.0002
71.49,8.55,Skutterudite,0.0002
241.12,14.35,PbTe,0.00018
296.43,14.71,Bi2Te3,0.00022
72.87,16.73,Bi2Te3,0.00022
137.42,6.19,PbTe,0.00018
237.42,1.01,Skutterudite,0.0002
230.5,9.53,Skutterudite,0.0002
256.01,14.87,Bi2Te3,0.00022
123.86,6.78,Bi2Te3,0.00022
118.57,3.78,PbTe,0.00018
93.27,17.51,PbTe,0.00018
99.93,19.92,PbTe,0.00018
257.79,5.33,PbTe,0.00018
216.25,18.6,PbTe,0.00018
186.86,12.94,PbTe,0.00018
281.91,14.32,Skutterudite,0.0002
152.6,15.16,Skutterudite,0.0002
259.1,18.75,PbTe,0.00018
85.14,17.06,Bi2Te3,0.00022
117.75,18.84,Bi2Te3,0.00022
201.4,19.63,PbTe,0.00018
189.82,2.52,Skutterudite,0.0002
278.45,16.6,PbTe,0.00018
225.45,7.47,Skutterudite,0.0002
265.62,1.47,Bi2Te3,0.00022
241.58,16.19,PbTe,0.00018
188.32,19.16,PbTe,0.00018
284.68,12.62,Skutterudite,0.0002
163.65,13.42,Skutterudite,0.0002
162.72,14.7,PbTe,0.00018
78.24,18.93,PbTe,0.00018
251.81,6.31,Bi2Te3,0.00022
165.03,14.29,Skutterudite,0.0002
109.24,11.29,Bi2Te3,0.00022
137.12,17.12,Bi2Te3,0.00022
159.11,4.91,Bi2Te3,0.00022
282.05,13.12,Skutterudite,0.0002
281.82,16.44,PbTe,0.00018
169.36,7.33,Skutterudite,0.0002
72.19,2.72,Skutterudite,0.0002
116.02,5.69,Bi2Te3,0.00022
186.2,12.08,Skutterudite,0.0002
218.96,17.8,PbTe,0.00018
280.69,13.51,Skutterudite,0.0002
157.4,1.12,PbTe,0.00018
226.24,9.68,Bi2Te3,0.00022
212.68,11.61,Bi2Te3,0.00022
154.34,16.78,Skutterudite,0.0002
159.62,17.22,PbTe,0.00018
239.05,19.96,Bi2Te3,0.00022
144.24,10.02,Bi2Te3,0.00022
224.14,18.5,Bi2Te3,0.00022
86.45,7.45,Skutterudite,0.0002
204.01,16.31,PbTe,0.00018
207.18,15.06,Skutterudite,0.0002
142.5,3.7,Bi2Te3,0.00022
108.88,14.73,Bi2Te3,0.00022
263.51,14.71,PbTe,0.00018
227.2,6.29,Bi2Te3,0.00022
277.48,11.13,Skutterudite,0.0002
229.31,2.79,Bi2Te3,0.00022
73.93,9.5,Bi2Te3,0.00022
210.38,12.68,Bi2Te3,0.00022
133.39,11.51,Bi2Te3,0.00022
273.25,12.94,Bi2Te3,0.00022
204.7,2.29,Bi2Te3,0.00022
95.56,17.17,PbTe,0.00018
179,19.01,PbTe,0.00018
217.68,6.81,Skutterudite,0.0002
247.87,10.55,Skutterudite,0.0002
252.96,5.13,Bi2Te3,0.00022
118.32,12.38,Skutterudite,0.0002
70.58,1.29,PbTe,0.00018
57.89,7.91,Skutterudite,0.0002
189.88,1.36,Skutterudite,0.0002
57.84,2.59,Skutterudite,0.0002
249.03,15.3,PbTe,0.00018
236.75,1.54,PbTe,0.00018
109.99,6.29,PbTe,0.00018
230.14,8.96,PbTe,0.00018
117.42,3.37,PbTe,0.00018
133.24,11.02,PbTe,0.00018
127.65,1.08,Skutterudite,0.0002
137.17,3.61,Skutterudite,0.0002
285.7,15.21,Bi2Te3,0.00022
238.57,15.43,PbTe,0.00018
265.91,18.66,Bi2Te3,0.00022
116.53,5.75,PbTe,0.00018
236.2,19.49,PbTe,0.00018
292.31,14.27,Skutterudite,0.0002
169.53,3.93,PbTe,0.00018
277.03,15.85,Skutterudite,0.0002
205.76,15.93,PbTe,0.00018
169.01,6.5,Bi2Te3,0.00022
239.74,3.02,Skutterudite,0.0002
109.82,14.93,Bi2Te3,0.00022
106.95,18.46,Skutterudite,0.0002
262.62,14.81,Bi2Te3,0.00022
283.9,2.56,Bi2Te3,0.00022
50.16,9.77,PbTe,0.00018
192.5,18.92,Skutterudite,0.0002
182.6,7.13,Bi2Te3,0.00022
218.59,19.39,PbTe,0.00018
118.06,6.59,PbTe,0.00018
109.58,17.23,PbTe,0.00018
224.52,18.98,Bi2Te3,0.00022
101.52,18.63,PbTe,0.00018
223.91,8.18,Bi2Te3,0.00022
210.82,8.66,Bi2Te3,0.00022
252.46,11.69,Bi2Te3,0.00022
147.35,9.01,PbTe,0.00018
116.66,3.6,Bi2Te3,0.00022
86.76,3.8,Skutterudite,0.0002
251,4.36,PbTe,0.00018
299.73,1.93,Skutterudite,0.0002
252.84,8.89,Skutterudite,0.0002
273.56,6.86,Skutterudite,0.0002
231.59,15.65,Bi2Te3,0.00022
92.96,11.95,Skutterudite,0.0002
209.61,6,Skutterudite,0.0002
158.44,16.59,PbTe,0.00018
209.18,9.54,Bi2Te3,0.00022
104.15,16.03,PbTe,0.00018
136.38,16.78,PbTe,0.00018
292.37,8.97,Skutterudite,0.0002
212.19,13.59,PbTe,0.00018
172.12,10.04,Skutterudite,0.0002
214.88,12.74,Skutterudite,0.0002
289.34,4.49,Bi2Te3,0.00022
162.01,12.73,Skutterudite,0.0002
276.55,15.55,Skutterudite,0.0002
216.33,5.52,Bi2Te3,0.00022
130.4,5.08,Bi2Te3,0.00022
250.58,17,PbTe,0.00018
126.9,3.95,Skutterudite,0.0002
96.24,7.69,Skutterudite,0.0002
53.6,17.33,Skutterudite,0.0002
68.21,7.14,PbTe,0.00018
170.37,13.27,Skutterudite,0.0002
55.91,8,PbTe,0.00018
82.38,4.08,PbTe,0.00018
191.93,19.31,Bi2Te3,0.00022
178.6,11.19,Skutterudite,0.0002
67.32,6.89,Bi2Te3,0.00022
68.6,17.27,Skutterudite,0.0002
64.34,13.43,Bi2Te3,0.00022
118.93,17.68,Bi2Te3,0.00022
59.56,10.77,PbTe,0.00018
111.84,1.2,PbTe,0.00018
197.32,3.71,PbTe,0.00018
271.89,11.55,Skutterudite,0.0002
209.16,16.72,Bi2Te3,0.00022
252.04,17.91,Bi2Te3,0.00022
201.91,9.76,Bi2Te3,0.00022
223.16,11.7,Skutterudite,0.0002
255.77,17.92,Skutterudite,0.0002
62.18,2.24,Skutterudite,0.0002
159.29,10.93,PbTe,0.00018
79.45,2.53,Skutterudite,0.0002
82.24,1.28,Skutterudite,0.0002
170.62,11.65,PbTe,0.00018
249.99,4.25,PbTe,0.00018
158.19,12.03,Bi2Te3,0.00022
297.14,12.97,Bi2Te3,0.00022
159.43,10.76,Skutterudite,0.0002
67.35,16.37,PbTe,0.00018
163.4,1.5,PbTe,0.00018
192.36,4.03,PbTe,0.00018
121.6,8.36,Bi2Te3,0.00022
180.73,17.19,PbTe,0.00018
191.68,6.1,Bi2Te3,0.00022
290.82,4.4,Bi2Te3,0.00022
296.14,4.52,PbTe,0.00018
167.98,8.44,PbTe,0.00018
131.93,8.54,Skutterudite,0.0002
94.72,1.05,Bi2Te3,0.00022
292.42,11.73,Skutterudite,0.0002
164.25,14.23,PbTe,0.00018
147.11,12.11,PbTe,0.00018
139.8,9.33,Bi2Te3,0.00022
268.89,16.37,Skutterudite,0.0002
270.36,7.89,Skutterudite,0.0002
97.37,13.68,PbTe,0.00018
195.71,10.89,PbTe,0.00018
228.5,11.38,Skutterudite,0.0002
136.51,14.63,Skutterudite,0.0002
287.36,6.58,Bi2Te3,0.00022
76.93,14.98,PbTe,0.00018
241.14,19.6,Bi2Te3,0.00022
100.87,19,Skutterudite,0.0002
57.07,6.34,Bi2Te3,0.00022
255,3.46,Skutterudite,0.0002
176.16,3.02,PbTe,0.00018
293.36,8.32,PbTe,0.00018
101.98,18.05,PbTe,0.00018
142.35,19.14,Skutterudite,0.0002
247.33,19.42,PbTe,0.00018
124.93,15.36,Bi2Te3,0.00022
161.52,3.27,PbTe,0.00018
178.46,11.99,Skutterudite,0.0002
79.23,13.13,PbTe,0.00018
246.88,14.39,PbTe,0.00018
72.52,15.5,Bi2Te3,0.00022
113.41,19.65,PbTe,0.00018
69.83,4.5,Bi2Te3,0.00022
196.07,14.34,PbTe,0.00018
112.83,17.61,PbTe,0.00018
104.99,11.05,Bi2Te3,0.00022
144.75,6.88,Bi2Te3,0.00022
196.58,17,Skutterudite,0.0002
220.78,1.86,Bi2Te3,0.00022
255.94,7.07,Skutterudite,0.0002
180.8,3.42,Bi2Te3,0.00022
63.81,7.77,Skutterudite,0.0002
293.36,2.43,Bi2Te3,0.00022
252.09,16.79,Skutterudite,0.0002
259.68,3.27,Bi2Te3,0.00022
288.06,6.02,PbTe,0.00018
267.88,2.23,Bi2Te3,0.00022
164.82,12.78,Skutterudite,0.0002
182.71,15.18,Skutterudite,0.0002
76.39,5.17,Skutterudite,0.0002
253.95,18.21,PbTe,0.00018
124.53,2.68,Bi2Te3,0.00022
217.55,17.96,Skutterudite,0.0002
289.98,8.66,Skutterudite,0.0002
293.68,8.81,Bi2Te3,0.00022
202.83,11.99,Skutterudite,0.0002
62.15,13.19,Bi2Te3,0.00022
70.82,12.15,Skutterudite,0.0002
159,2.4,Bi2Te3,0.00022
289.63,18.99,Skutterudite,0.0002
57.24,13.58,Skutterudite,0.0002
248.33,15.08,PbTe,0.00018
120.48,4.34,Bi2Te3,0.00022
246.58,15.73,Skutterudite,0.0002
102.82,10.96,PbTe,0.00018
116.79,10.91,Bi2Te3,0.00022
268.68,2.63,PbTe,0.00018
145.87,17.4,PbTe,0.00018
98.72,16.38,Skutterudite,0.0002
168.27,7.26,Skutterudite,0.0002
241.7,16.27,Bi2Te3,0.00022
178.96,3.78,Bi2Te3,0.00022
223.25,18.67,PbTe,0.00018
76.31,12.44,Bi2Te3,0.00022
109.36,10.34,Bi2Te3,0.00022
257.16,18.2,Skutterudite,0.0002
256.83,7.38,Skutterudite,0.0002
199.21,3.19,Skutterudite,0.0002
208.47,2.76,Skutterudite,0.0002
144.81,11.41,Skutterudite,0.0002
230.84,11.44,PbTe,0.00018
200.83,2.25,Skutterudite,0.0002
183.94,5.86,PbTe,0.00018
270.19,17.93,Skutterudite,0.0002
185.98,16.69,Skutterudite,0.0002
75.02,12.54,Bi2Te3,0.00022
235.53,15.28,PbTe,0.00018
262.05,18,PbTe,0.00018
261.79,10.87,PbTe,0.00018
180.83,7.05,Bi2Te3,0.00022
267.38,18.19,Bi2Te3,0.00022
58.22,19.72,PbTe,0.00018
50.7,17.2,Bi2Te3,0.00022
97.4,4.36,Bi2Te3,0.00022
192.73,2.58,PbTe,0.00018
218.3,4.99,Skutterudite,0.0002
163.38,5.55,Bi2Te3,0.00022
123.22,17.16,PbTe,0.00018
165.09,8.87,PbTe,0.00018
188.71,1.46,Skutterudite,0.0002
145.39,7.97,Bi2Te3,0.00022
72.24,3.93,PbTe,0.00018
136.63,7.14,Bi2Te3,0.00022
82.96,19.7,Skutterudite,0.0002
86.92,11.75,PbTe,0.00018
276.27,15.31,PbTe,0.00018
151.77,4.86,PbTe,0.00018
235.06,2.8,PbTe,0.00018
202.79,3.12,PbTe,0.00018
213.49,14.28,PbTe,0.00018
161.82,14.96,Bi2Te3,0.00022
248.34,5.4,Skutterudite,0.0002
104.61,4.08,Skutterudite,0.0002
152.45,8.02,Bi2Te3,0.00022
231.09,15.47,Skutterudite,0.0002
245.31,10.34,PbTe,0.00018
55.5,1.87,PbTe,0.00018
142.4,9.99,Skutterudite,0.0002
297.99,9.6,Skutterudite,0.0002
215.69,8.84,PbTe,0.00018
109.94,11.75,PbTe,0.00018
147.23,13.22,Skutterudite,0.0002
223.42,14.22,PbTe,0.00018
221.25,8.85,PbTe,0.00018
206.47,15.21,PbTe,0.00018
152.93,5.85,Bi2Te3,0.00022
165.52,4.98,Bi2Te3,0.00022
242.7,4.29,Skutterudite,0.0002
201.01,3.21,Skutterudite,0.0002
183.02,11.28,Skutterudite,0.0002
201.3,13.21,Skutterudite,0.0002
297.12,2.2,Skutterudite,0.0002
172.92,6.04,PbTe,0.00018
146.98,15.95,Bi2Te3,0.00022
53.36,12.47,PbTe,0.00018
73.87,8.54,Bi2Te3,0.00022
62.28,3.7,Skutterudite,0.0002
285.41,11.51,Skutterudite,0.0002
111.07,5.65,PbTe,0.00018
264.19,6.86,Skutterudite,0.0002
180.07,14.95,Bi2Te3,0.00022
201.65,18.87,PbTe,0.00018
80.32,14.21,PbTe,0.00018
254.91,7.08,Skutterudite,0.0002
239.29,10.51,Skutterudite,0.0002
69.43,6.67,Skutterudite,0.0002
77.07,14.6,Skutterudite,0.0002
202.08,15.47,PbTe,0.00018
214.3,7.24,Bi2Te3,0.00022
272.71,4.61,Bi2Te3,0.00022
212.01,18.72,Skutterudite,0.0002
85.31,7.4,PbTe,0.00018
122.52,14.41,Skutterudite,0.0002
232.13,15.17,PbTe,0.00018
130.09,9.66,Bi2Te3,0.00022
218.02,11.68,PbTe,0.00018
185.03,18.52,Skutterudite,0.0002
94.85,16.28,Skutterudite,0.0002
215.86,14.76,Skutterudite,0.0002
198.12,7.95,Skutterudite,0.0002
197.45,3.3,Bi2Te3,0.00022
93.24,14.06,Bi2Te3,0.00022
252.26,10.35,Bi2Te3,0.00022
51.38,18.9,PbTe,0.00018
121.34,15.22,Skutterudite,0.0002
97.65,2.9,Bi2Te3,0.00022
283.98,13.38,PbTe,0.00018
99.7,4.29,Skutterudite,0.0002
130.55,3.01,Bi2Te3,0.00022
193.3,4.98,PbTe,0.00018
196.72,13.37,Bi2Te3,0.00022
177.86,4.68,Skutterudite,0.0002
137.09,5.07,Skutterudite,0.0002
136.2,1.25,PbTe,0.00018
160.07,14.82,Skutterudite,0.0002
101.98,19.3,Bi2Te3,0.00022
157.41,5.57,Bi2Te3,0.00022
96.82,18,Skutterudite,0.0002
266.98,14.29,Bi2Te3,0.00022
140.11,8.86,Skutterudite,0.0002
136.82,9.52,Bi2Te3,0.00022
140.54,12.68,PbTe,0.00018
225.67,13.94,PbTe,0.00018
231.33,4.4,Bi2Te3,0.00022
261.64,3.02,PbTe,0.00018
53.42,15.65,Bi2Te3,0.00022
179.41,17.48,Skutterudite,0.0002
205.5,7.08,Bi2Te3,0.00022
175.49,18.62,Skutterudite,0.0002
138.78,2.51,Bi2Te3,0.00022
218.84,8.18,PbTe,0.00018
289.42,5.79,Bi2Te3,0.00022
88.44,5.67,Bi2Te3,0.00022
191.7,10.82,PbTe,0.00018
292.16,9.33,PbTe,0.00018
113.85,7.4,PbTe,0.00018
157.32,5.87,Skutterudite,0.0002
101.89,14.68,Bi2Te3,0.00022
165.69,1.35,Bi2Te3,0.00022
125.98,10.86,Skutterudite,0.0002
133.29,9.17,PbTe,0.00018
116.18,1.1,Skutterudite,0.0002
260.64,17.31,PbTe,0.00018
81.32,8.95,PbTe,0.00018
54.27,7.74,Skutterudite,0.0002
197.12,18.58,Skutterudite,0.0002
254.1,6.15,Skutterudite,0.0002
131.41,19.97,Skutterudite,0.0002
281.35,4.24,PbTe,0.00018
136.15,18.78,PbTe,0.00018
172.39,19.37,PbTe,0.00018
260.16,8.18,Skutterudite,0.0002
271.02,1.6,PbTe,0.00018
168.66,19.09,Bi2Te3,0.00022
266.64,18.36,PbTe,0.00018
166.47,1.35,Skutterudite,0.0002
293.46,11.67,Skutterudite,0.0002
141.01,17.18,Skutterudite,0.0002
234.88,11.99,PbTe,0.00018
156.82,3.79,PbTe,0.00018
143.26,15.28,PbTe,0.00018
277.03,7.17,Skutterudite,0.0002
127.44,5.1,PbTe,0.00018
232.13,13.51,Skutterudite,0.0002
178.96,13.24,Skutterudite,0.0002
218.15,17.43,Skutterudite,0.0002
256.98,16.31,PbTe,0.00018
94.94,12.18,Skutterudite,0.0002
104.2,18.95,Skutterudite,0.0002
199.99,17.09,Skutterudite,0.0002
111.33,1.04,Skutterudite,0.0002
273.05,15.85,Bi2Te3,0.00022
244.65,18.65,PbTe,0.00018
164.13,14.38,PbTe,0.00018
189.99,19.2,PbTe,0.00018
216.47,5.37,Skutterudite,0.0002
221.77,19.35,Skutterudite,0.0002
154.13,2.12,Skutterudite,0.0002
90.5,8.78,Bi2Te3,0.00022
284.57,3.76,Skutterudite,0.0002
200.04,19.46,Skutterudite,0.0002
133.04,10.76,PbTe,0.00018
201.18,8.26,PbTe,0.00018
224.54,14.82,PbTe,0.00018
157.32,9.49,Bi2Te3,0.00022
218.92,16.97,Bi2Te3,0.00022
225.52,11.54,PbTe,0.00018
119.06,16.76,Bi2Te3,0.00022
156.68,1.61,Skutterudite,0.0002
112.68,18.91,Bi2Te3,0.00022
160.51,17.01,PbTe,0.00018
293.97,10.14,PbTe,0.00018
179.74,5.59,Bi2Te3,0.00022
231.03,11.31,Bi2Te3,0.00022
295.63,2.63,Bi2Te3,0.00022
218.93,7.51,Skutterudite,0.0002
242.96,12.4,PbTe,0.00018
211.76,11.21,Skutterudite,0.0002
156,5.44,PbTe,0.00018
298.69,16.94,Skutterudite,0.0002
259.6,2.53,Bi2Te3,0.00022
173.97,4.24,PbTe,0.00018
208.05,10.4,PbTe,0.00018
103.51,6.68,Skutterudite,0.0002
134.25,7.31,PbTe,0.00018
292.19,7.19,PbTe,0.00018
138.26,2.88,Bi2Te3,0.00022
137.49,3.85,Bi2Te3,0.00022
58.65,19.56,Bi2Te3,0.00022
208.68,10.25,Skutterudite,0.0002
282.35,13.05,PbTe,0.00018
108.91,9.14,PbTe,0.00018
221.71,14.02,PbTe,0.00018
163.31,5.62,PbTe,0.00018
135.08,17.1,Skutterudite,0.0002
170.05,16.36,Skutterudite,0.0002
234.71,19.71,Skutterudite,0.0002
267.63,1.27,Bi2Te3,0.00022
248.06,9.99,PbTe,0.00018
195.4,1.18,Skutterudite,0.0002
173.05,17.14,PbTe,0.00018
128.43,5.96,Bi2Te3,0.00022
172.71,9.57,Bi2Te3,0.00022
68.41,12.29,PbTe,0.00018
195.06,16.89,PbTe,0.00018
69.21,1.21,PbTe,0.00018
292.56,13.85,Skutterudite,0.0002
131.09,10.86,Bi2Te3,0.00022
231.59,8.2,Skutterudite,0.0002
217.17,13.26,Bi2Te3,0.00022
53.37,10.35,Bi2Te3,0.00022
58.78,19.83,PbTe,0.00018
266.78,13.44,Skutterudite,0.0002
270.34,5.21,Skutterudite,0.0002
217.21,4.43,Bi2Te3,0.00022
173.54,18.73,Bi2Te3,0.00022
60.7,5.97,Bi2Te3,0.00022
91.46,15.75,Bi2Te3,0.00022
191.53,14.09,Bi2Te3,0.00022
79.15,12.34,Skutterudite,0.0002
299.34,13.24,Bi2Te3,0.00022
63.1,19.04,Bi2Te3,0.00022
131.31,16.89,Skutterudite,0.0002
191.14,12.7,Bi2Te3,0.00022
146.17,4.53,Bi2Te3,0.00022
168.56,2.59,PbTe,0.00018
100.62,18.37,Bi2Te3,0.00022
110.32,14.72,PbTe,0.00018
281.82,10.17,PbTe,0.00018
167.85,12.98,Skutterudite,0.0002
201.23,4.28,Bi2Te3,0.00022
290.46,18.51,Skutterudite,0.0002
243.78,4.04,Skutterudite,0.0002
79.43,12.83,PbTe,0.00018
253.63,2.4,Skutterudite,0.0002
185.23,1.34,PbTe,0.00018
107.98,3.39,PbTe,0.00018
163.48,9.69,Bi2Te3,0.00022
281.84,3.6,Skutterudite,0.0002
287.21,9.04,Bi2Te3,0.00022
103.88,19.49,Skutterudite,0.0002
98.42,7.03,Skutterudite,0.0002
296.67,15.86,Bi2Te3,0.00022
77.52,7.1,PbTe,0.00018
166.83,12.13,PbTe,0.00018
179.41,10.16,Skutterudite,0.0002
168.88,5.03,Skutterudite,0.0002
224.79,7.86,Bi2Te3,0.00022
53.55,14.43,Bi2Te3,0.00022
230.2,4,Skutterudite,0.0002
111,10.52,Bi2Te3,0.00022
176.6,5.52,PbTe,0.00018
96.84,2.21,Bi2Te3,0.00022
129.86,19.87,Bi2Te3,0.00022
172.76,16.69,PbTe,0.00018
227.79,13.44,Bi2Te3,0.00022
237.03,5.11,Bi2Te3,0.00022
188.66,9.34,Skutterudite,0.0002
177.98,3.16,Skutterudite,0.0002
105.69,9.93,Skutterudite,0.0002
146.36,10.28,PbTe,0.00018
162.97,6.82,Bi2Te3,0.00022
276.03,18.19,Skutterudite,0.0002
125.78,8.08,Bi2Te3,0.00022
161.23,7.39,Bi2Te3,0.00022
85.01,7.82,Skutterudite,0.0002
68.36,6.3,PbTe,0.00018
199.31,18.74,PbTe,0.00018
